language_id,language_name
en,English
es,Español
fr,Français
it,Italiano
de,Deutsch
tr,Türkçe
el,ελληνικά
zh,普通话
th,ภาษาไทย
is,Íslenska
ru,Pусский
sv,svenska
ro,Română
ja,日本語
la,Latin
hi,हिन्दी
pt,Português
bo,
fa,فارسی
ur,اردو
ar,العربية
sa,
gd,
cs,Český
cn,广州话 / 廣州話
ko,한국어/조선말
no,Norsk
ta,தமிழ்
nv,
he,עִבְרִית
da,Dansk
nl,Nederlands
af,Afrikaans
ga,Gaeilge
so,Somali
fi,suomi
sw,Kiswahili
bg,български език
yi,
vi,Tiếng Việt
hu,Magyar
uk,Український
eo,Esperanto
am,
km,
ce,
pl,Polski
co,
pa,ਪੰਜਾਬੀ
et,Eesti
sq,shqip
sr,Srpski
bs,Bosanski
hr,Hrvatski
tl,
sh,
