movie_id,actor_id,cast_id,char_name,char_gender,order
19995,65731,242,Jake Sully,2,0
19995,8691,3,Neytiri,1,1
19995,10205,25,Dr. Grace Augustine,1,2
19995,32747,4,Col. Quaritch,2,3
19995,17647,5,Trudy Chacon,1,4
19995,1771,8,Selfridge,2,5
19995,59231,7,Norm Spellman,2,6
19995,30485,9,Moat,1,7
19995,15853,11,Eytukan,2,8
19995,10964,10,Tsu'Tey,2,9
19995,95697,12,Dr. Max Patel,2,10
285,85,4,Captain Jack Sparrow,2,0
285,114,5,Will Turner,2,1
285,116,6,Elizabeth Swann,1,2
285,1640,12,"William ""Bootstrap Bill"" Turner",2,3
285,1619,10,Captain Sao Feng,2,4
285,2440,9,Captain Davy Jones,2,5
285,118,7,Captain Hector Barbossa,2,6
285,1709,14,Admiral James Norrington,2,7
285,2449,13,Joshamee Gibbs,2,8
285,2441,11,Lord Cutler Beckett,2,9
285,2038,19,Tia Dalma,1,10
206647,8784,1,James Bond,2,0
206647,27319,14,Blofeld,2,1
206647,121529,13,Madeleine,1,2
206647,5469,10,M,2,3
206647,28782,17,Lucia,1,4
206647,17064,8,Q,2,5
206647,2038,11,Moneypenny,1,6
206647,543530,16,Hinx,2,7
206647,125660,15,C,2,8
206647,139549,19,Tanner,2,9
206647,2244,23,Mr. White,2,10
49026,3894,2,Bruce Wayne / Batman,2,0
49026,3895,8,Alfred Pennyworth,2,1
49026,64,5,James Gordon,2,2
49026,1813,3,Selina Kyle / Catwoman,1,3
49026,2524,4,Bane,2,4
49026,8293,15,Miranda Tate,1,5
49026,24045,6,Blake,2,6
49026,192,7,Lucius Fox,2,7
49026,2037,46,Dr. Jonathan Crane / Scarecrow,2,8
49026,36594,9,Jen,1,9
49026,3896,47,Ra's Al Ghul,2,10
49529,60900,5,John Carter,2,0
49529,21044,20,Dejah Thoris,1,1
49529,2206,7,Sola,1,2
49529,5293,3,Tars Tarkas,2,3
49529,19159,8,Tal Hajus,2,4
49529,2983,2,Matai Shang,2,5
49529,8785,4,Tardos Mors,2,6
49529,17287,9,Sab Than,2,7
49529,17648,10,Kantos Kan,2,8
49529,17419,11,Powell,2,9
49529,6416,12,Sarkoja,1,10
559,2219,30,Peter Parker / Spider-Man,2,0
559,205,7,Mary Jane Watson,1,1
559,17051,35,Harry Osborn / New Goblin,2,2
559,19159,36,Flint Marko / Sandman,2,3
559,17052,37,Eddie Brock / Venom,2,4
559,18997,8,Gwen Stacey,1,5
559,18998,31,May Parker,1,6
559,2505,9,Captain Stacey,2,7
559,18999,10,J. Jonah Jameson,2,8
559,9207,14,Mrs. Marko,1,9
559,19152,12,Dr. Curt Connors,2,10
38757,69899,34,Flynn Rider (voice),2,0
38757,16855,33,Rapunzel (voice),1,1
38757,2517,35,Mother Gothel (voice),1,2
38757,2372,36,Stabbington Brother (voice),2,3
38757,22132,70,Captain of the Guard (voice),2,4
38757,4175,38,Big Nose Thug (voice),2,5
38757,18,39,Hook Hand Thug (voice),2,6
38757,1219029,71,Short Thug (voice),0,7
38757,10460,41,Vlad (voice),0,8
38757,1273208,42,Young Rapunzel / Little Girl (voice),0,9
38757,121830,43,Guard 1 / Thug 1 (voice),2,10
99861,3223,76,Tony Stark / Iron Man,2,0
99861,74568,8,Thor Odinson,2,1
99861,103,15,Bruce Banner / Hulk,2,2
99861,16828,12,Steve Rogers / Captain America,2,3
99861,1245,10,Natasha Romanoff / Black Widow,1,4
99861,17604,11,Clint Barton / Hawkeye,2,5
99861,13548,19,Ultron (voice),2,6
99861,2231,14,Nick Fury,2,7
99861,1896,25,James Rhodes / War Machine,2,8
99861,27428,21,Pietro Maximoff / Quicksilver,2,9
99861,550843,20,Wanda Maximoff / Scarlet Witch,1,10
767,10980,3,Harry Potter,2,0
767,10989,2,Ron Weasley,2,1
767,10990,1,Hermione Granger,1,2
767,10993,4,Draco Malfoy,2,3
767,5658,30,Albus Dumbledore,2,4
767,388,27,Horace Slughorn,2,5
767,1283,40,Bellatrix Lestrange,1,6
767,1923,29,Rubeus Hagrid,2,7
767,10978,31,Minerva McGonagall,1,8
767,4566,32,Severus Snape,2,9
767,9191,42,Peter Pettigrew,2,10
209112,880,18,Bruce Wayne / Batman,2,0
209112,73968,14,Clark Kent / Superman,2,1
209112,90633,19,Diana Prince / Wonder Woman,1,2
209112,9273,15,Lois Lane,1,3
209112,44735,22,Lex Luthor,2,4
209112,2882,17,Martha Kent,1,5
209112,16940,23,Alfred Pennyworth,0,6
209112,2975,16,Perry White,2,7
209112,18686,26,Senator Finch,1,8
209112,59233,33,Wallace Keefe,2,9
209112,208296,24,Anatoli Knyazev,2,10
1452,17271,3,Superman / Clark Kent,2,0
1452,1979,1,Lex Luthor,2,1
1452,7517,4,Lois Lane,1,2
1452,11006,10,Richard White,2,3
1452,7489,11,Kitty Kowalski,1,4
1452,8924,12,Perry White,2,5
1452,53492,13,Jimmy Olsen,0,6
1452,2639,14,Martha Kent,1,7
1452,3084,15,Jor-El,2,8
1452,53493,16,Stanford,2,9
1452,53494,17,Jason White,2,10
10764,8784,1,James Bond,2,0
10764,18182,17,Camille Montes,1,1
10764,8789,18,Dominic Greene,2,2
10764,5309,19,M,1,3
10764,3753,20,René Mathis,2,4
10764,59620,21,Strawberry Fields,1,5
10764,2954,22,Felix Leiter,2,6
10764,35029,23,Gregg Beam,2,7
10764,2244,24,Mr. White,2,8
10764,62892,25,Elvis,2,9
10764,139549,27,Tanner,2,10
58,85,37,Captain Jack Sparrow,2,0
58,114,3,Will Turner,2,1
58,116,2,Elizabeth Swann,1,2
58,1640,7,"William ""Bootstrap Bill"" Turner",2,3
58,2440,6,Captain Davy Jones,2,4
58,1709,4,James Norrington,2,5
58,2449,27,Joshamee Gibbs,2,6
58,378,36,Governor Weatherby Swann,2,7
58,1710,29,Pintel,2,8
58,1711,30,Ragetti,2,9
58,2441,8,Lord Cutler Beckett,2,10
57201,85,4,Tonto,2,0
57201,53807,5,John Reid / The Lone Ranger,2,1
57201,886,9,Butch Cavendish,2,2
57201,1283,8,Red Harrington,1,3
57201,18473,6,Dan Reid,2,4
57201,207,7,Latham Cole,2,5
57201,47720,13,Rebecca Reid,1,6
57201,12834,10,Captain Jay Fuller,2,7
57201,22063,11,Barret,2,8
57201,583040,12,Will,2,9
57201,71467,14,Skinny,2,10
