movie_id,production_id
19995,289
19995,306
19995,444
19995,574
285,2
285,130
285,19936
206647,5
206647,10761
206647,69434
49026,923
49026,6194
49026,9993
49026,9996
49529,2
559,5
559,326
559,19551
38757,2
38757,6125
99861,420
99861,15357
99861,76043
767,6194
767,7364
209112,429
209112,507
209112,6194
209112,9993
209112,9995
209112,41624
1452,429
1452,923
1452,6194
1452,9168
10764,7576
58,2
58,130
58,19936
57201,2
57201,130
57201,2691
57201,37380
57201,37381
57201,37382
49521,923
49521,6194
49521,9993
49521,9996
49521,78685
2454,5888
2454,10221
2454,11345
2454,11440
2454,11441
2454,11442
2454,76043
24428,4
24428,420
1865,2
1865,130
1865,20478
41154,56
41154,5627
41154,6736
41154,9169
41154,11084
122917,11
122917,12
122917,174
122917,7413
122917,8411
1930,5
1930,326
1930,7505
20662,23
20662,33
20662,1645
20662,7295
57158,11
57158,12
57158,174
57158,8411
2268,12
2268,289
2268,1473
2268,1938
254,11
254,33
254,68
254,69
597,4
597,306
597,574
271110,264
271110,420
271110,3036
271110,84424
271110,84425
44833,33
44833,2598
44833,13778
44833,20153
135397,13
135397,56
135397,923
135397,3341
135397,6452
37724,5
558,5
558,326
558,19551
68721,420
12155,2
12155,598
12155,8601
12155,16314
12155,20004
36668,289
36668,306
36668,431
36668,444
36668,445
36668,9168
36668,12247
36668,19551
36668,79028
36668,79029
36668,79030
62211,2
62211,3
8373,4
8373,27
8373,56
8373,435
8373,2481
8373,22826
8373,76043
91314,4
91314,56
91314,435
91314,2481
91314,11413
91314,22826
91314,38833
91314,76043
68728,2
68728,16314
102382,5
102382,19551
102382,31828
102382,53462
20526,2
20526,7161
20526,18713
20526,23791
20526,76043
20526,76067
49013,2
49013,3
44912,2609
44912,6194
44912,9993
10193,2
10193,3
534,5
534,4021
534,4022
534,6194
168259,33
168259,333
168259,3341
168259,6452
168259,7154
168259,40890
168259,86352
168259,86655
168259,87857
168259,87858
72190,4
72190,3281
72190,6277
72190,9169
72190,11956
72190,19108
72190,23644
127585,306
127585,431
127585,7505
127585,9168
127585,22213
127585,37336
127585,76043
54138,4
54138,6277
54138,11461
54138,12536
81005,12
81005,333
81005,923
81005,6194
81005,8406
81005,9168
64682,79
64682,240
64682,6194
64682,11858
64682,14440
64682,14604
9543,2
9543,130
68726,923
68726,6194
68726,19750
68726,19751
38356,4
38356,435
38356,19751
38356,22826
217,1
217,4
105864,2
105864,3
62177,2
62177,3
188927,4
188927,11461
188927,34530
188927,69484
188927,82819
188927,83644
188927,83645
10681,2
10681,3
10681,93408
5174,12
14161,5
14161,347
14161,1557
14161,10905
17979,5888
17979,11395
76757,79
76757,444
76757,450
76757,6194
258489,79
258489,552
258489,2596
258489,41624
258489,46339
258489,86565
258489,86566
411,5888
411,10221
246655,306
246655,431
246655,7505
246655,9168
246655,22213
246655,78091
155,429
155,923
155,6194
155,9993
155,9996
14160,3
15512,521
1726,420
44826,4
44826,2691
44826,3281
8487,2507
8487,6194
8487,16774
8487,57088
1735,33
1735,2269
1735,7295
1735,11462
1735,19643
297761,429
297761,444
297761,507
297761,6194
297761,9993
2698,5
2698,33
2698,158
2698,159
2698,333
2698,4171
2698,7295
137113,79
137113,6194
137113,6687
137113,12200
137113,36390
137113,41624
9804,33
9804,1073
9804,1302
9804,6092
14869,4
14869,158
14869,435
14869,2598
14869,76067
150540,2
150540,3
278927,2
278927,3036
278927,7297
278927,20478
10138,420
58595,33
58595,16314
102651,2
102651,3036
102651,16314
119450,290
119450,7076
119450,22213
79698,7299
79698,8186
79698,8187
79698,8188
79698,76098
79698,76099
79698,76100
64686,2735
64686,4403
64686,6292
64686,20478
64686,20851
100402,420
10192,521
158852,2
158852,20656
158852,59778
177572,2
177572,6125
82690,6125
5255,1867
5255,4171
5255,11395
47933,306
47933,347
47933,22213
47933,86561
10191,521
10191,829
10191,20154
296,5
296,763
296,6194
296,7340
296,19116
296,23636
118340,420
118340,20478
118340,54850
118340,76043
157336,4
157336,923
157336,6194
157336,9996
157336,13769
27205,923
27205,6194
27205,9996
315011,5896
315011,49301
49051,11
49051,12
49051,174
49051,8411
9799,33
9799,333
9799,26281
9799,26282
4922,4
4922,6194
4922,7383
49538,289
49538,290
49538,306
49538,431
49538,444
49538,6332
49538,7505
49538,9168
49538,10893
131634,264
131634,1632
131634,5420
27022,2
27022,130
27022,831
27022,8000
27022,19097
503,449
503,1633
503,6194
503,14024
503,18990
503,19943
241259,2
241259,598
241259,8601
241259,16314
241259,37455
810,27
810,521
68735,33
68735,507
68735,923
68735,16028
87101,4
87101,13184
87101,82819
10140,444
10140,711
10140,10221
676,130
676,9195
1858,4
1858,27
1858,56
1858,435
1858,2481
1858,12247
1858,20011
1858,22826
1858,76043
1966,591
1966,763
1966,866
1966,4588
1966,6194
1966,10926
1966,19116
1966,54997
675,6194
675,7364
674,462
674,6194
674,7364
8960,5
8960,433
8960,675
8960,7295
8960,12485
8960,28064
8960,41756
6479,79
6479,333
6479,433
6479,6194
6479,7364
6479,12485
118,79
118,80
118,6194
118,8601
118,45778
118,55512
2062,2
2062,3
272,429
272,923
272,6194
272,9993
272,9996
272,19231
10527,521
18360,306
18360,436
18360,444
18360,2575
18360,10224
18360,20478
2080,289
2080,306
2080,431
2080,444
2080,9076
2080,9168
2080,10893
2080,19551
605,79
605,172
605,1885
605,6194
109445,2
109445,6125
604,79
604,172
604,375
604,1885
604,6194
76338,420
76341,79
76341,2537
76341,6194
13448,5
13448,23
13448,5561
13448,8253
10195,420
13053,6125
19585,2
19585,130
19585,3639
57165,923
57165,3528
57165,6194
57165,24175
57165,24176
62213,79
62213,2691
62213,3281
62213,6194
62213,8601
62213,9228
62213,20004
177677,4
177677,6277
177677,11413
177677,11461
177677,21777
177677,69484
177677,69485
7978,33
7978,4403
7978,7295
5559,520
5559,521
5559,1903
49444,521
10196,4
10196,2348
10196,7383
10196,8805
10196,12236
956,4
956,44
956,264
956,658
956,2269
956,14714
956,22102
117251,5
117251,347
117251,34981
117251,34982
50321,6125
11619,297
11619,521
266647,6194
266647,20478
266647,27711
266647,41624
82703,520
82703,521
82703,73951
82703,73952
652,81
652,6194
652,7636
652,18990
652,19107
652,19108
80321,521
36669,7576
43074,5
43074,79
43074,4607
43074,34034
43074,61791
43074,84041
43074,84042
95,130
95,9195
95,11533
608,5
608,56
608,441
608,49325
2310,4
2310,2265
2310,11395
2310,24955
140300,306
140300,521
140300,40890
140300,76266
56292,4
56292,6277
56292,11461
56292,21777
56292,76043
56292,76067
81188,521
7552,23
7552,441
7552,76714
616,44
616,6194
616,14718
616,20634
147441,1645
147441,7076
147441,20656
147441,52184
13475,4
13475,158
13475,11461
13475,23419
557,5
557,19551
82702,521
82702,20154
205584,491
205584,908
205584,3528
205584,72441
205584,88715
10048,326
10048,333
10048,441
10048,11317
10048,19523
13183,4
13183,429
13183,840
13183,923
13183,6194
13183,78685
944,1885
944,5739
944,6194
1927,33
1927,10565
1927,11533
1927,19551
72559,4
72559,435
72559,2598
72559,6277
72559,8411
72559,19719
7364,4
7364,2233
7364,2234
7364,2235
7364,2767
7364,4169
7364,12124
7364,12125
7364,12126
7364,19481
2114,5
2114,4164
2114,20033
1771,420
36643,7576
36643,8411
8619,33
8619,306
8619,9118
8619,53009
50620,491
50620,5219
50620,12292
65759,79
65759,6194
65759,28381
65759,28382
1724,33
1724,420
1724,11533
1724,25121
267935,2
267935,56
267935,7294
267935,7383
267935,10221
281957,508
281957,562
281957,8870
281957,10039
281957,10104
281957,13796
281957,28732
281957,52660
281957,77845
77950,521
44896,4
44896,2348
44896,3281
44896,10262
44896,24955
270946,521
2503,33
2503,862
2503,11347
2503,11348
2503,11349
9502,521
102899,420
101299,1632
101299,5420
228161,306
228161,521
74,4
74,27
74,44
74,56
8961,441
8961,10288
417859,7
27576,5
27576,435
27576,7295
27576,11845
86834,4
86834,508
86834,7503
86834,10256
17578,4
17578,5
17578,11
17578,56
17578,2348
17578,7383
17578,9169
673,436
673,437
673,6194
6972,240
6972,289
6972,306
6972,6332
6972,7888
82700,5
82700,12236
82700,12485
10567,2
10567,10217
181533,306
181533,436
181533,2575
181533,20478
181533,22213
38055,521
671,436
671,6194
671,7364
49524,33
49524,333
49524,552
22,2
22,130
131631,1632
131631,5420
591,5
591,23
591,8253
591,19927
172385,9383
172385,11749
36658,306
36658,431
36658,9168
36658,19551
36658,79026
36658,79027
51497,33
51497,333
51497,1225
58574,79
58574,1885
58574,2723
58574,6194
58574,23202
18823,80
18823,923
18823,3528
18823,6194
18823,20478
861,559
861,14723
861,80461
1911,9195
49040,33
49040,6452
49040,7295
49040,7383
49040,25716
415,1382
415,6194
8871,23
8871,33
435,35
435,306
435,347
435,11362
435,54502
955,4
955,44
955,51199
2133,6194
2133,16061
2133,18990
1979,289
1979,306
1979,436
1979,444
1979,5755
1979,10881
1979,19551
87827,289
87827,290
87827,444
87827,711
87827,10893
87827,13480
1250,441
1250,7295
1250,11370
1250,19551
1250,20241
1250,20475
1250,20476
324668,862
