movie_id,lang_id,lang_name
19995,en,English
19995,es,Español
285,en,English
206647,fr,Français
206647,en,English
206647,es,Español
206647,it,Italiano
206647,de,Deutsch
49026,en,English
49529,en,English
559,en,English
559,fr,Français
38757,en,English
99861,en,English
767,en,English
209112,en,English
1452,en,English
1452,fr,Français
1452,de,Deutsch
10764,en,English
10764,es,Español
10764,it,Italiano
10764,fr,Français
10764,de,Deutsch
58,en,English
58,tr,Türkçe
58,el,ελληνικά
58,zh,普通话
57201,en,English
49521,en,English
2454,en,English
24428,en,English
1865,en,English
1865,es,Español
41154,en,English
122917,en,English
1930,en,English
20662,en,English
20662,th,ภาษาไทย
57158,en,English
2268,is,Íslenska
2268,en,English
2268,ru,Pусский
2268,fr,Français
254,en,English
597,en,English
597,fr,Français
597,de,Deutsch
597,sv,svenska
597,it,Italiano
597,ru,Pусский
271110,ro,Română
271110,en,English
271110,de,Deutsch
271110,ru,Pусский
44833,en,English
44833,th,ภาษาไทย
135397,en,English
37724,en,English
558,en,English
558,ru,Pусский
558,zh,普通话
68721,en,English
12155,en,English
36668,en,English
62211,en,English
8373,en,English
8373,es,Español
91314,en,English
68728,en,English
102382,en,English
20526,en,English
49013,en,English
49013,ja,日本語
49013,it,Italiano
49013,fr,Français
44912,en,English
10193,en,English
10193,es,Español
534,en,English
534,it,Italiano
168259,en,English
72190,en,English
127585,en,English
54138,en,English
81005,en,English
64682,en,English
9543,en,English
68726,en,English
38356,en,English
217,en,English
217,de,Deutsch
217,ru,Pусский
105864,en,English
62177,en,English
188927,en,English
10681,en,English
5174,la,Latin
5174,en,English
5174,fr,Français
5174,ja,日本語
5174,zh,普通话
14161,en,English
14161,fr,Français
14161,hi,हिन्दी
14161,it,Italiano
14161,la,Latin
14161,zh,普通话
14161,pt,Português
14161,ru,Pусский
14161,bo,
17979,en,English
76757,en,English
258489,en,English
411,en,English
411,de,Deutsch
246655,en,English
155,en,English
155,zh,普通话
14160,en,English
15512,en,English
1726,en,English
1726,fa,فارسی
1726,ur,اردو
1726,ar,العربية
44826,en,English
8487,en,English
1735,en,English
1735,zh,普通话
1735,sa,
297761,en,English
2698,en,English
137113,en,English
9804,en,English
9804,de,Deutsch
9804,es,Español
14869,en,English
14869,fr,Français
14869,gd,
150540,en,English
278927,en,English
10138,en,English
10138,ru,Pусский
10138,fr,Français
58595,en,English
102651,en,English
119450,en,English
79698,en,English
64686,en,English
64686,ja,日本語
100402,en,English
10192,en,English
158852,en,English
177572,en,English
82690,en,English
5255,en,English
47933,en,English
10191,en,English
296,en,English
118340,en,English
157336,en,English
27205,en,English
27205,ja,日本語
27205,fr,Français
315011,it,Italiano
315011,de,Deutsch
315011,en,English
315011,ja,日本語
49051,en,English
9799,en,English
4922,en,English
49538,de,Deutsch
49538,en,English
49538,es,Español
49538,fr,Français
49538,ru,Pусский
131634,en,English
27022,en,English
503,en,English
503,es,Español
241259,en,English
810,fr,Français
68735,en,English
87101,en,English
10140,en,English
676,fr,Français
676,en,English
676,ja,日本語
1858,es,Español
1858,en,English
1966,en,English
675,en,English
674,en,English
674,fr,Français
8960,en,English
8960,ja,日本語
6479,en,English
118,en,English
2062,en,English
272,en,English
272,ur,اردو
272,zh,普通话
10527,en,English
10527,it,Italiano
10527,th,ภาษาไทย
18360,en,English
2080,en,English
605,en,English
605,fr,Français
109445,en,English
604,en,English
76338,en,English
76341,en,English
13448,en,English
13448,it,Italiano
13448,la,Latin
13448,fr,Français
13448,de,Deutsch
13448,zh,普通话
10195,en,English
13053,en,English
19585,en,English
57165,en,English
62213,en,English
177677,de,Deutsch
177677,en,English
